,Unnamed: 0,Open,Close,Volume,Quote-Asset-Volume,Number-Of-Trades,Taker-Buy-Base-Asset-Volume,Date,positive_tweets,negative_tweets,neutral_tweets,Volume-Change,Quote-Asset-Volume-Change,Open-Close-Change
48,48,44701.83,44717.35,2282.195001,103062115.56190726,49703,1136.703323,2021-08-18,19561,2556,16110,-6.194962000000032,-1754560.4538855404,16
49,49,44731.72,46753.72,2377.183358,107737486.67862809,52709,1129.929356,2021-08-19,15817,2529,15926,94.98835700000018,4675371.116720825,2022
50,50,46758.32,49326.64,2518.777422,120461957.51594436,57757,1204.295954,2021-08-20,18417,2811,18063,141.5940639999999,12724470.837316275,2568
51,51,49347.44,48858.83,1708.863497,83841919.4241872,45057,880.358958,2021-08-21,4927,705,5296,-809.9139250000001,-36620038.09175716,-489
52,52,48864.06,49276.5,1119.395483,54675995.1365894,32860,548.260488,2021-08-22,0,0,0,-589.468014,-29165924.287597798,412
53,53,49276.5,49545.26,2109.418562,105410115.50105284,48068,1143.803097,2021-08-23,4634,655,5214,990.0230789999998,50734120.36446344,269
54,54,49508.47,47700.91,2248.857081,109484996.1383342,49061,1102.13511,2021-08-24,13062,1772,12071,139.43851900000027,4074880.6372813582,-1808
55,55,47688.01,48991.76,1868.964933,90048587.7765573,42415,848.934895,2021-08-25,27796,2902,16345,-379.89214800000013,-19436408.361776903,1303
56,56,48984.49,46863.0,1872.83558,88482920.42599408,39478,889.835199,2021-08-26,20315,2777,16074,3.8706469999999626,-1565667.3505632132,-2121
57,57,46855.79,49071.5,2115.202637,101172262.203119,44370,993.14968,2021-08-27,0,0,0,242.36705699999993,12689341.777124912,2216
58,58,49090.48,48920.68,709.60507,34677605.1234281,19629,329.24688,2021-08-28,0,0,0,-1405.5975669999998,-66494657.079690896,-170
59,59,48927.61,48792.95,1181.513039,57525876.31030023,25733,490.248109,2021-08-29,0,0,0,471.907969,22848271.186872132,-135
60,60,48805.61,46995.47,1521.97002,73044189.7510992,35113,746.71578,2021-08-30,0,0,0,340.45698100000004,15518313.440798968,-1810
61,61,46996.65,47121.64,1775.38109,84070036.0984108,38180,869.94123,2021-08-31,0,0,0,253.4110700000001,11025846.347311601,125
